City,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind_speed,Country,Date
aasiaat,68.7098,-52.8699,27.55,82,100,3.02,GL,1621056323
abatskoye,56.2875,70.4555,79.38,35,18,10.45,RU,1621056401
abha,18.2164,42.5053,73.4,43,20,4.61,SA,1621056266
abu dhabi,24.4667,54.3667,89.6,62,0,4.61,AE,1621056155
aburi,5.8472,-0.1775,80.6,89,0,6.91,GH,1621056330
acapulco,16.8634,-99.8901,83.1,74,99,2.28,MX,1621056338
adrar,20.5022,-10.0711,73.58,24,5,8.72,MR,1621056438
ahipara,-35.1667,173.1667,63.28,82,4,6.29,NZ,1621056433
airai,-8.9266,125.4092,71.73,50,100,4.94,TL,1621056278
aitape,-3.1374,142.3475,87.03,69,47,9.26,PG,1621056280
aklavik,68.2191,-135.0107,42.8,56,79,5.75,CA,1621056308
albany,42.6001,-73.9662,51.01,64,22,4.07,US,1621056268
aldan,58.6031,125.3894,51.94,36,6,9.13,RU,1621056318
alekseyevka,50.6309,38.6903,64.42,71,94,9.75,RU,1621056361
alice springs,-23.7,133.8833,66.2,34,0,12.66,AU,1621056459
almaznyy,48.0448,40.045,69.8,68,0,13.42,RU,1621056318
almeirim,-1.5233,-52.5817,73.94,97,100,2.53,BR,1621056381
alofi,-19.0595,-169.9187,78.8,89,52,4.61,NU,1621056321
along,28.1667,94.7667,73.22,75,93,2.71,IN,1621056365
alyangula,-13.8483,136.4192,84.2,58,40,10.36,AU,1621056292
amantea,39.1332,16.0746,60.8,100,90,20.71,IT,1621056293
amapa,1.0,-52.0,71.35,99,99,1.97,BR,1621056321
amazar,53.858,120.875,58.66,32,65,12.19,RU,1621056416
ambanja,-13.6833,48.45,78.8,65,20,2.3,MG,1621056453
amos,48.5669,-78.1162,53.6,47,1,10.36,CA,1621056284
ampanihy,-24.7,44.75,72.61,54,0,8.61,MG,1621056336
anadyr,64.75,177.4833,41.0,75,0,13.42,RU,1621056411
ancud,-41.8697,-73.8203,44.01,100,20,4.61,CL,1621056283
anloga,5.7947,0.8973,80.6,89,20,4.61,GH,1621056388
antofagasta,-23.65,-70.4,60.8,82,90,4.61,CL,1621056370
araouane,18.9048,-3.5265,85.73,12,1,7.99,ML,1621056068
arlit,18.7369,7.3853,86.54,13,56,8.95,NE,1621056403
arraial do cabo,-22.9661,-42.0278,69.01,64,44,1.41,BR,1621056350
asau,46.4333,26.4,62.6,51,0,6.91,RO,1621056436
ashoknagar,24.5667,77.7167,98.91,16,31,7.52,IN,1621056462
astana,51.1801,71.446,69.8,30,0,6.71,KZ,1621056371
aswan,24.0934,32.907,83.12,13,0,10.04,EG,1621056442
atambua,-9.1061,124.8925,82.08,53,100,2.71,ID,1621056334
atuona,-9.8,-139.0333,79.52,74,23,18.01,PF,1621056294
auki,-8.7676,160.7034,84.92,67,44,2.91,SB,1621056424
avarua,-21.2078,-159.775,77.0,83,100,10.36,CK,1621056261
axim,4.8699,-2.2405,79.66,84,55,6.11,GH,1621056401
azuaga,38.2667,-5.6833,53.01,81,66,7.0,ES,1621056439
bahar,34.9072,48.4414,60.8,59,0,8.55,IR,1621056348
bajil,15.0584,43.2851,87.04,63,59,4.03,YE,1621056444
balkhash,46.844,74.9804,68.0,30,20,15.66,KZ,1621056450
ballina,-28.8667,153.5667,73.4,56,6,10.36,AU,1621056452
bambous virieux,-20.3428,57.7575,79.0,69,40,11.5,MU,1621056390
banfora,10.6333,-4.7667,79.36,63,38,3.53,BF,1621056382
banyo,6.75,11.8167,67.55,90,100,1.41,CM,1621056248
bara,10.3744,10.7288,80.89,67,98,6.17,NG,1621056399
barda,40.3744,47.1267,75.2,60,0,1.9,AZ,1621056369
barra do garcas,-15.89,-52.2567,69.24,60,75,0.2,BR,1621056318
barra patuca,15.8,-84.2833,78.66,83,10,6.76,HN,1621056441
barranca,-10.75,-77.7667,63.36,86,4,5.23,PE,1621056443
